training noise-level and iteration, test noise-level, epoch, reconstruction error, kl-divergence, cost
0.0 0, 0.5, 26, 49951.796755194664, 0.12524789404790637, 49951.922003088715
0.0 0, 0.0, final, 49952.282309532166, 0.03627185805327138, 49952.31858139022
0.0 0, 0.02, final, 49951.16516947746, 0.036360657682849795, 49951.20153013514
0.0 0, 0.04, final, 49952.25675404072, 0.03737044709343951, 49952.29412448781
0.0 0, 0.06, final, 49951.782152056694, 0.03847247836048384, 49951.82062453505
0.0 0, 0.08, final, 49952.38818228245, 0.040219943553997495, 49952.428402226
0.0 0, 0.1, final, 49953.29722762108, 0.04228624812521897, 49953.33951386921
0.0 0, 0.12, final, 49951.256439089775, 0.04508082818701031, 49951.301519917964
0.0 0, 0.14, final, 49951.913580298424, 0.04894248807079915, 49951.962522786496
0.0 0, 0.16, final, 49951.92088186741, 0.05294136130429006, 49951.97382322871
0.0 0, 0.18, final, 49952.428340911865, 0.05537909293195109, 49952.4837200048
0.0 0, 0.2, final, 49951.74929499626, 0.05956958447471827, 49951.80886458074
0.0 0, 0.22, final, 49951.74199342728, 0.06537464231810286, 49951.807368069596
0.0 0, 0.24, final, 49951.29659771919, 0.06890615676817635, 49951.36550387596
0.0 0, 0.26, final, 49951.928183436394, 0.07460815932574516, 49952.00279159572
0.0 0, 0.28, final, 49952.136278152466, 0.07696436966798248, 49952.213242522135
0.0 0, 0.3, final, 49951.03009045124, 0.08198514260295109, 49951.11207559385
0.0 0, 0.32, final, 49951.80040597916, 0.08576684280966074, 49951.88617282196
0.0 0, 0.34, final, 49952.66564190388, 0.08777639508439095, 49952.75341829896
0.0 0, 0.36, final, 49951.62516832352, 0.09682968279864412, 49951.72199800632
0.0 0, 0.38, final, 49951.96834206581, 0.09828119760414256, 49952.06662326342
0.0 0, 0.4, final, 49951.913580298424, 0.10320185440290663, 49952.01678215283
0.0 0, 0.42, final, 49952.32246816158, 0.10907742388288733, 49952.43154558547
0.0 0, 0.44, final, 49951.27834379673, 0.11467542162426747, 49951.393019218354
0.0 0, 0.46, final, 49952.632784843445, 0.11944161714444124, 49952.75222646059
0.0 0, 0.48, final, 49952.43564248085, 0.11908868269301232, 49952.554731163546
0.0 0, 0.5, final, 49952.75691151619, 0.1267116875251194, 49952.883623203714
0.0 1, 0.0, 0, 780475.1646518707, 85595252.35932839, 86375727.52398026
0.0 1, 0.02, 0, 780253.3721923828, 85565801.2190865, 86346054.59127888
0.0 1, 0.04, 0, 780317.976474762, 85538584.85326259, 86318902.82973735
0.0 1, 0.06, 0, 780279.1321277618, 85507218.10251316, 86287497.23464093
